"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL590799";"CAMOSTAT";"CAMOSTAT";"Small molecule";"3";"398.42";"28";"62";"1.39";"134.81";"6";"3";"0";"7";"N";"0.28";"None";"8.54";"1.51";"0.36";"2";"MOL";"0";"29";"9";"4";"0";"398.1590";"BASE";"C20H22N4O5";"CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1";"XASIMHXSUQUHLV-UHFFFAOYSA-N"
"CHEMBL214253";"";"PD-407824";"Small molecule";"0";"328.33";"25";"39";"3.58";"82.19";"3";"3";"0";"1";"N";"0.47";"8.13";"None";"3.15";"3.08";"4";"MOL";"-1";"25";"5";"3";"0";"328.0848";"NEUTRAL";"C20H12N2O3";"O=C1NC(=O)c2c1c(-c1ccccc1)cc1[nH]c3ccc(O)cc3c21";"IAUZTOZLTFSMIE-UHFFFAOYSA-N"
"CHEMBL1200675";"TOREMIFENE CITRATE";"FC-1157A|Fareston|NSC-613680|TOREMIFENE CITRATE";"Small molecule";"4";"598.09";"80";"115";"6.22";"12.47";"2";"0";"1";"9";"N";"0.31";"None";"8.76";"6.27";"4.89";"3";"MOL";"0";"29";"2";"0";"1";"405.1859";"BASE";"C32H36ClNO8";"CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O";"IWEQQRMGNVVKQW-OQKDUQJOSA-N"
"CHEMBL258405";"ICILLIN";"ICILLIN|Icilin";"Small molecule";"3";"311.30";"30";"57";"2.87";"95.71";"4";"2";"0";"3";"N";"0.67";"8.63";"None";"2.17";"2.15";"2";"MOL";"0";"23";"7";"2";"0";"311.0906";"NEUTRAL";"C16H13N3O4";"O=C1NC(c2cccc([N+](=O)[O-])c2)=CCN1c1ccccc1O";"RCEFMOGVOYEGJN-UHFFFAOYSA-N"
"CHEMBL474133";"";"";"Small molecule";"0";"422.48";"9";"26";"5.06";"85.34";"5";"1";"1";"3";"N";"0.64";"None";"1.94";"4.12";"4.12";"3";"MOL";"-1";"32";"5";"2";"1";"422.1630";"NEUTRAL";"C27H22N2O3";"COc1ccc(C2C(C#N)=C(N)OC3=C2C(=O)CC(c2cccc4ccccc24)C3)cc1";"YBMGNDPBARCLFT-UHFFFAOYSA-N"
"CHEMBL575239";"";"";"Small molecule";"0";"142.20";"13";"15";"-0.22";"23.55";"2";"0";"0";"0";"Y";"0.47";"None";"7.21";"-0.74";"-0.95";"0";"MOL";"-1";"10";"3";"0";"0";"142.1106";"NEUTRAL";"C7H14N2O";"CC(=O)N1CCN(C)CC1";"YSDBJKNOEWSFGA-UHFFFAOYSA-N"
"CHEMBL6597";"Ro-154513";"Ro-15-4513";"Small molecule";"0";"326.32";"23";"75";"2.58";"113.19";"6";"0";"0";"3";"N";"0.37";"None";"2.87";"1.67";"1.56";"2";"MOL";"-1";"24";"9";"0";"0";"326.1127";"NEUTRAL";"C15H14N6O3";"CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(N=[N+]=[N-])ccc1-2";"CFSOJZTUTOQNIA-UHFFFAOYSA-N"
"CHEMBL478629";"DORSOMORPHIN";"Dorsomorphin";"Small molecule";"0";"399.50";"261";"755";"4.32";"55.55";"6";"0";"0";"6";"N";"0.48";"None";"8.81";"3.44";"2.02";"4";"MOL";"-1";"30";"6";"0";"0";"399.2059";"BASE";"C24H25N5O";"c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1";"XHBVYDAKJHETMP-UHFFFAOYSA-N"
"CHEMBL1200436";"OXANDROLONE";"ANAVAR|LONAVAR|NSC-67068|OXANDROLONE|OXANDROLONE CIII|Oxandrin|PROVITAR|SC 11585|SC-11585|VASOROME";"Small molecule";"4";"306.45";"8";"48";"3.54";"46.53";"3";"1";"0";"0";"N";"0.70";"None";"None";"2.95";"2.95";"0";"MOL";"0";"22";"3";"1";"0";"306.2195";"NEUTRAL";"C19H30O3";"C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O";"QSLJIVKCVHQPLV-PEMPUTJUSA-N"
"CHEMBL506871";"VELIPARIB";"ABT-888|PARP-1 INHIBITOR ABT-888|VELIPARIB";"Small molecule";"3";"244.30";"614";"724";"1.26";"83.80";"3";"3";"0";"2";"N";"0.74";"9.73";"9.25";"0.21";"-1.17";"2";"MOL";"0";"18";"5";"4";"0";"244.1324";"BASE";"C13H16N4O";"C[C@]1(c2nc3cccc(C(N)=O)c3[nH]2)CCCN1";"JNAHVYVRKWKWKQ-CYBMUJFWSA-N"
